Epoch 1 : (Loss: 0.7452639055046918, Correctness: 0.35993485342019543) 
Epoch 2 : (Loss: 0.8041881786803393, Correctness: 0.6400651465798045) 
Epoch 3 : (Loss: 0.7372647184143848, Correctness: 0.36156351791530944) 
Epoch 4 : (Loss: 0.7976336459948081, Correctness: 0.6400651465798045) 
Epoch 5 : (Loss: 0.7326267200505517, Correctness: 0.44299674267100975) 
Epoch 6 : (Loss: 0.7927056137577146, Correctness: 0.6400651465798045) 
Epoch 7 : (Loss: 0.7287952302277161, Correctness: 0.48859934853420195) 
Epoch 8 : (Loss: 0.7884300223888311, Correctness: 0.6400651465798045) 
Epoch 9 : (Loss: 0.7254248145944333, Correctness: 0.504885993485342) 
Epoch 10 : (Loss: 0.784636071824857, Correctness: 0.6400651465798045) 
Epoch 11 : (Loss: 0.7224275673072255, Correctness: 0.5146579804560261) 
Epoch 12 : (Loss: 0.7812561296484194, Correctness: 0.6400651465798045) 
Epoch 13 : (Loss: 0.7197550556047229, Correctness: 0.5211726384364821) 
Epoch 14 : (Loss: 0.7782404260942675, Correctness: 0.6400651465798045) 
Epoch 15 : (Loss: 0.7173687719746801, Correctness: 0.5260586319218241) 
Epoch 16 : (Loss: 0.7755461724690029, Correctness: 0.6400651465798045) 
Epoch 17 : (Loss: 0.7152354329491479, Correctness: 0.5342019543973942) 
Epoch 18 : (Loss: 0.7731358369914645, Correctness: 0.6400651465798045) 
Epoch 19 : (Loss: 0.713325834941478, Correctness: 0.5423452768729642) 
Epoch 20 : (Loss: 0.770976474150539, Correctness: 0.6400651465798045) 
Epoch 21 : (Loss: 0.7116142913961734, Correctness: 0.5488599348534202) 
Epoch 22 : (Loss: 0.7690391797420931, Correctness: 0.6319218241042345) 
Epoch 23 : (Loss: 0.7100782035409562, Correctness: 0.5618892508143323) 
Epoch 24 : (Loss: 0.7672985948949884, Correctness: 0.6351791530944625) 
Epoch 25 : (Loss: 0.7086976891587929, Correctness: 0.5732899022801303) 
Epoch 26 : (Loss: 0.7657324610861431, Correctness: 0.6335504885993485) 
Epoch 27 : (Loss: 0.7074552535997229, Correctness: 0.5765472312703583) 
Epoch 28 : (Loss: 0.764321226910771, Correctness: 0.6351791530944625) 
Epoch 29 : (Loss: 0.7063354978274646, Correctness: 0.5814332247557004) 
Epoch 30 : (Loss: 0.7630477034383614, Correctness: 0.6351791530944625) 
Epoch 31 : (Loss: 0.7053248602045611, Correctness: 0.5814332247557004) 
Epoch 32 : (Loss: 0.7618967634437318, Correctness: 0.6351791530944625) 
Epoch 33 : (Loss: 0.7044113889941144, Correctness: 0.5830618892508144) 
Epoch 34 : (Loss: 0.7608550795389452, Correctness: 0.6351791530944625) 
Epoch 35 : (Loss: 0.7035845425840739, Correctness: 0.5846905537459284) 
Epoch 36 : (Loss: 0.7599108964703168, Correctness: 0.6351791530944625) 
Epoch 37 : (Loss: 0.7028350145048521, Correctness: 0.5863192182410424) 
Epoch 38 : (Loss: 0.7590538332561179, Correctness: 0.6351791530944625) 
Epoch 39 : (Loss: 0.7021545804496624, Correctness: 0.5863192182410424) 
Epoch 40 : (Loss: 0.758274711295922, Correctness: 0.6351791530944625) 
Epoch 41 : (Loss: 0.701535964701121, Correctness: 0.5912052117263844) 
Epoch 42 : (Loss: 0.7575654050300519, Correctness: 0.6351791530944625) 
Epoch 43 : (Loss: 0.7009727235930113, Correctness: 0.5895765472312704) 
Epoch 44 : (Loss: 0.7569187121465161, Correctness: 0.6351791530944625) 
Epoch 45 : (Loss: 0.7004591438721013, Correctness: 0.5944625407166124) 
Epoch 46 : (Loss: 0.756328240714585, Correctness: 0.6351791530944625) 
Epoch 47 : (Loss: 0.6999901540580861, Correctness: 0.5960912052117264) 
Epoch 48 : (Loss: 0.7557883109665273, Correctness: 0.6351791530944625) 
Epoch 49 : (Loss: 0.6995612471209605, Correctness: 0.5960912052117264) 
Epoch 50 : (Loss: 0.7552938697525643, Correctness: 0.6351791530944625) 
Epoch 51 : (Loss: 0.6991684129998861, Correctness: 0.5960912052117264) 
Epoch 52 : (Loss: 0.7548404159609381, Correctness: 0.6351791530944625) 
Epoch 53 : (Loss: 0.6988080796733188, Correctness: 0.5960912052117264) 
Epoch 54 : (Loss: 0.7544239354280917, Correctness: 0.6351791530944625) 
Epoch 55 : (Loss: 0.6984770616565407, Correctness: 0.5993485342019544) 
Epoch 56 : (Loss: 0.7540408440666141, Correctness: 0.6351791530944625) 
Epoch 57 : (Loss: 0.6981725149500991, Correctness: 0.6009771986970684) 
Epoch 58 : (Loss: 0.753687938114073, Correctness: 0.6351791530944625) 
Epoch 59 : (Loss: 0.6978918975922378, Correctness: 0.6026058631921825) 
Epoch 60 : (Loss: 0.7533623505574647, Correctness: 0.6351791530944625) 
Epoch 61 : (Loss: 0.6976329350817846, Correctness: 0.6042345276872965) 
Epoch 62 : (Loss: 0.7530615129185196, Correctness: 0.6351791530944625) 
Epoch 63 : (Loss: 0.6973935900365612, Correctness: 0.6042345276872965) 
Epoch 64 : (Loss: 0.7527831216975492, Correctness: 0.6351791530944625) 
Epoch 65 : (Loss: 0.6971720355379771, Correctness: 0.6058631921824105) 
Epoch 66 : (Loss: 0.7525251088700446, Correctness: 0.6351791530944625) 
Epoch 67 : (Loss: 0.6969666316865464, Correctness: 0.6058631921824105) 
Epoch 68 : (Loss: 0.7522856159131917, Correctness: 0.6351791530944625) 
Epoch 69 : (Loss: 0.6967759049570759, Correctness: 0.6042345276872965) 
Epoch 70 : (Loss: 0.7520629709107306, Correctness: 0.6351791530944625) 
Epoch 71 : (Loss: 0.6965985299974866, Correctness: 0.6058631921824105) 
Epoch 72 : (Loss: 0.7518556683456947, Correctness: 0.6351791530944625) 
Epoch 73 : (Loss: 0.6964333135628922, Correctness: 0.6074918566775245) 
Epoch 74 : (Loss: 0.7516623512431758, Correctness: 0.6351791530944625) 
Epoch 75 : (Loss: 0.6962791803175644, Correctness: 0.6091205211726385) 
Epoch 76 : (Loss: 0.751481795370331, Correctness: 0.6351791530944625) 
Epoch 77 : (Loss: 0.6961351602728795, Correctness: 0.6091205211726385) 
Epoch 78 : (Loss: 0.7513128952397169, Correctness: 0.6351791530944625) 
Epoch 79 : (Loss: 0.6960003776598014, Correctness: 0.6123778501628665) 
Epoch 80 : (Loss: 0.7511546516954302, Correctness: 0.6351791530944625) 
Epoch 81 : (Loss: 0.695874041060796, Correctness: 0.6140065146579805) 
Epoch 82 : (Loss: 0.7510061608902627, Correctness: 0.6351791530944625) 
Epoch 83 : (Loss: 0.6957554346487742, Correctness: 0.6140065146579805) 
Epoch 84 : (Loss: 0.750866604486949, Correctness: 0.6351791530944625) 
Epoch 85 : (Loss: 0.6956439104003267, Correctness: 0.6140065146579805) 
Epoch 86 : (Loss: 0.7507352409379281, Correctness: 0.6351791530944625) 
Epoch 87 : (Loss: 0.6955388811673855, Correctness: 0.6140065146579805) 
Epoch 88 : (Loss: 0.7506113977165683, Correctness: 0.6351791530944625) 
Epoch 89 : (Loss: 0.6954398145062032, Correctness: 0.6140065146579805) 
Epoch 90 : (Loss: 0.7504944643888045, Correctness: 0.6351791530944625) 
Epoch 91 : (Loss: 0.6953462271751845, Correctness: 0.6140065146579805) 
Epoch 92 : (Loss: 0.7503838864279662, Correctness: 0.6351791530944625) 
Epoch 93 : (Loss: 0.6952576802241553, Correctness: 0.6140065146579805) 
Epoch 94 : (Loss: 0.7502791596876418, Correctness: 0.6351791530944625) 
Epoch 95 : (Loss: 0.6951737746072004, Correctness: 0.6140065146579805) 
Epoch 96 : (Loss: 0.7501798254578, Correctness: 0.6351791530944625) 
Epoch 97 : (Loss: 0.6950941472595119, Correctness: 0.6140065146579805) 
Epoch 98 : (Loss: 0.7500854660385142, Correctness: 0.6351791530944625) 
Epoch 99 : (Loss: 0.6950184675859024, Correctness: 0.6140065146579805) 
Epoch 100 : (Loss: 0.7499957007735003, Correctness: 0.6351791530944625) 
Epoch 101 : (Loss: 0.6949464343149616, Correctness: 0.6140065146579805) 
Epoch 102 : (Loss: 0.749910182492587, Correctness: 0.6351791530944625) 
Epoch 103 : (Loss: 0.6948777726782966, Correctness: 0.6140065146579805) 
Epoch 104 : (Loss: 0.7498285943182217, Correctness: 0.6351791530944625) 
Epoch 105 : (Loss: 0.694812231879101, Correctness: 0.6140065146579805) 
Epoch 106 : (Loss: 0.7497506467964088, Correctness: 0.6351791530944625) 
Epoch 107 : (Loss: 0.6947495828184939, Correctness: 0.6156351791530945) 
